,Unique_ID,Name,Type
412,25522,WEDDELL SEALS,Tag
413,25523,Phoebetria fusca,Tag
414,25524,R%2FV NBP %3E R%2FV Nathaniel B. Palmer,Tag
415,25525,wavelength,Tag
416,25526,EARTH SCIENCE %3E OCEANS %3E OCEAN CHEMISTRY %3E PHOSPHA,Tag
417,25527,EARTH SCIENCE %3E OCEANS %3E SALINITY%2FDENSITY,Tag
418,25528,Haul Type,Tag
419,25529,plankton,Tag
420,25530,Secchi Disks,Tag
421,25531,EARTH SCIENCE %3E BIOSPHERE %3E AQUATIC ECOSYSTEMS %3E C,Tag
422,25532,green fish,Tag
423,25533,Prosobranchia,Tag
424,25534,intraspecific,Tag
425,25535,Time,Tag
426,25536,Forest Science,Tag
427,25537,Bugula neritina,Tag
428,25538,PROTISTS,Tag
429,25539,rocky shore,Tag
430,25540,CTDPRS,Tag
431,25541,Williamstown,Tag
432,25542,Procellaria%09aequinoctialis,Tag
433,25543,EARTH SCIENCE %3E OCEANS %3E OCEAN CHEMISTRY %3E SILICAT,Tag
434,25544,EARTH SCIENCE %3E OCEANS %3E SALINITY%2FDENSITY %3E CONDUC,Tag
435,25545,IPY %3E INTERNATIONAL POLAR YEAR,Tag
436,25546,Journal,Tag
437,25547,Record,Tag
438,25548,Modelling,Tag
439,25549,hydrocarbons,Tag
440,25550,Aurora Australis,Tag
441,25551,Effort Spike,Tag
442,25552,Thematic Map,Tag
443,25553,Report,Tag
444,25554,marine,Tag
445,25555,NERP,Tag
446,25556,Coastal and beach erosion,Tag
447,25557,Marine Map,Tag
448,25558,Cryptic behaviour,Tag
449,25559,Dugong dugon,Tag
450,25560,continental shelf,Tag
451,25561,25 417001,Tag
452,25562,Scientific Journal Paper,Tag
453,25563,Hydrolab Vertical Profiler,Tag
454,25564,Distribution,Tag
455,25565,Bivalvia,Tag
456,25566,Foraminiferans,Tag
457,25567,Continental Shelves,Tag
458,25568,28 770020,Tag
459,25569,Corals,Tag
460,25570,BATHYMETRY,Tag
461,25571,HydroLab Vertical Profiler,Tag
462,25572,Agricultural Lands,Tag
463,25573,ANTARCTICA,Tag
464,25574,Microbiota,Tag
465,25575,CEAMARC,Tag
466,25576,20 331032,Tag
467,25577,ECOLOGY-Habitat,Tag
468,25578,Turbidity,Tag
469,25579,Airborne Electromagnetics,Tag
470,25580,CASO %3E Climate of Antarctica and the Southern Ocea,Tag
471,25581,BEACH,Tag
472,25582,CAROTENOIDS,Tag
473,25583,Tidal Components,Tag
474,25584,Monograph Contribution,Tag
475,25585,Thematic,Tag
476,25586,Black bream,Tag
477,25587,National,Tag
478,25588,National dataset,Tag
479,25589,Research Newslttr Paper,Tag
480,25590,Petroleum,Tag
481,25591,63 618005,Tag
482,25592,Diomedea%09epomorpha,Tag
483,25593,ASPECT,Tag
484,25594,AMMONIA,Tag
485,25595,Tidal Currents,Tag
486,25596,Dams and desalination plants in Australia %28and ove,Tag
487,25597,AMD%2FFR,Tag
488,25598,Other Publication,Tag
489,25599,Earthquake Predictions,Tag
490,25600,marine_coastal,Tag
491,25601,Suspended Solids,Tag
492,25602,lolly fish,Tag
493,25603,OPEN WATER,Tag
494,25604,OCEAN %3E ARCTIC OCEAN,Tag
495,25605,Pteropoda,Tag
496,25606,Hydrozoa,Tag
497,25607,Bugula stolonifera,Tag
498,25608,R%2FV L%27ASTRO %3E R%2FV L%27ASTROLABE,Tag
499,25609,thaid,Tag
500,25610,CTDSAL,Tag
501,25611,Workshops Jetty,Tag
502,25612,Pterodroma lessonii,Tag
503,25613,Sea Ice,Tag
504,25614,EARTH SCIENCE %3E OCEANS %3E OCEAN CHEMISTRY %3E TRACE E,Tag
505,25615,Ice,Tag
506,25616,Trace Metals,Tag
507,25617,Thaliacea,Tag
508,25618,Waypoint,Tag
509,25619,Phillip Island,Tag
510,25620,RECORD,Tag
511,25621,Ciona intestinalis,Tag
512,25622,CTDSAL_FLAG_W,Tag
